,business_status,name,place_id,price_level,rating,user_ratings_total
215,OPERATIONAL,China King,ChIJDcN_wOLYxIkRjnmnKqBetPU,1.0,4.0,123.0
216,OPERATIONAL,Exxon,ChIJm4oCo-TYxIkRDBKci_1K98s,,4.3,3.0
217,OPERATIONAL,Subway,ChIJHYxCFf3YxIkRrN3L1lqqXSI,1.0,4.3,45.0
218,OPERATIONAL,Primaveras Pizza,ChIJETE87CLZxIkRfbqAs0kQyk8,1.0,4.8,150.0
219,OPERATIONAL,Linda Kay's Ole Green Ridge Diner,ChIJzerk7BXZxIkRmIToBgeeIIc,1.0,4.5,246.0
220,OPERATIONAL,Samario's,ChIJa2kOJhrZxIkRaaaVQ1aIHkU,,4.2,370.0
221,OPERATIONAL,McDonald's,ChIJYSEuI_3YxIkRqo2om2A3-AE,1.0,3.6,864.0
222,OPERATIONAL,Fratelli's Restaurant,ChIJPy9X1yDZxIkRiho9zws9zwA,2.0,4.5,586.0
223,OPERATIONAL,King star,ChIJJwQfihjZxIkRRTlkJespHVA,,3.4,100.0
224,OPERATIONAL,Buona Pizza & Italian Restaurant,ChIJK6vgdiLZxIkRLjLTDaEcZSs,1.0,3.9,171.0
225,OPERATIONAL,QQ Chinese,ChIJD-HznBnZxIkRLGYowm3gfQg,2.0,4.2,84.0
226,OPERATIONAL,Juggie's Place,ChIJwfU97BXZxIkRfORFLvLpdgQ,,,
227,OPERATIONAL,Linda Kay's Ole Green Ridge Diner,ChIJzerk7BXZxIkRmIToBgeeIIc,1.0,4.5,246.0
228,OPERATIONAL,A Little Pizza Heaven,ChIJ_dyFBRXZxIkR4cNuYrucv2E,1.0,4.7,429.0
229,OPERATIONAL,Juggie's Place,ChIJwfU97BXZxIkRfORFLvLpdgQ,,,
